"id","company_name","contact_name","decision_maker","contact_phone","contact_email","client_id","company_state","company_states","external_account","employees_number","certified_payroll","job_costing","paper_checks","schedule_filing","farms_filing","require_international","require_fica","require_garnishment","payroll_process","health_benefits","health_broker","consider","created_at","updated_at"
"1","Testing","Employer","","3055009199","tesst_emp@mail.com","sdsf1s6f16s1df61s","NY","FL","sfsdfsdfs16","4","","","","","","","","","","","","","2017-06-08 01:49:55","2017-06-08 01:49:55"
"2","Testing","Employer","","3055009199","tesst_emp@mail.com","5546654","FL","FL","sada","5","","","","1","","","","","","","","","2017-06-08 01:51:19","2017-06-08 01:51:19"
"3","Testing","Employer","","3055009199","tesst_emp@mail.com","dasdasd6519898","FL","NY,FL","asdada","4","","","","","","","","","","","","","2017-06-08 01:55:20","2017-06-08 01:55:20"
"4","Testing","Employer","","3055009199","tesst_emp@mail.com","dasdasd6519898829","FL","NY,FL","asdada","4","","","","","","","","","","","","","2017-06-08 02:04:50","2017-06-08 02:04:50"
"5","Testing","Employer","","3055009199","tesst_emp@mail.com","dasdasd6519898829asdasd","FL","NY,FL","asdada","4","","","","","","","","","","","","","2017-06-08 02:07:47","2017-06-08 02:07:47"
"6","Testing","Employer","","3055009199","tesst_emp@mail.com","dasdasd6519898829asdasd333","FL","NY,FL","asdada","4","","","","","","","","","","","","","2017-06-08 02:08:35","2017-06-08 02:08:35"
"7","Testing","Employer","","3055009199","tesst_emp@mail.com","asdasdasda","FL","NY,FL","asdasda1da65","8","","","","","","","","","","","","","2017-06-08 02:12:30","2017-06-08 02:12:30"
"8","Testing","Employer","","3055009199","tesst_emp@mail.com","sasdasda99a8s","FL","NY,FL","asdasda","7","","","","","","","","","","","","","2017-06-08 13:22:54","2017-06-08 13:22:54"
"9","Testing","Employer","","3055009199","tesst_emp@mail.com","asdasda111611","FL","AL,FL,NH","sadasdad","2","","","","","","","","","","","","","2017-06-08 14:07:18","2017-06-08 14:07:18"
"10","Testing","Employer","","3055009199","tesst_emp@mail.com","sdadasd","FL","AL,NH","sada1d6as1d","2","","","","","","","","","","","","","2017-06-08 14:08:07","2017-06-08 14:08:07"
"11","Testing","Employer","1","3055009199","tesst_emp@mail.com","sda8989a","FL","FL,NY","1","1-2","","","","","","","","","","","","1","2017-06-08 18:32:26","2017-06-08 18:32:26"
"12","Testing","Employer","1","3055009199","tesst_emp@mail.com","561as6d6a6d465a46","FL","FL,NY","1","3-9","","","","","","","","","","","","","2017-06-08 18:38:39","2017-06-08 18:38:39"
"13","Testing","Employer","1","3055009199","tesst_emp@mail.com","561as6d6a6d465a46asdas","FL","FL,NY","1","3-9","","","","","","","","","","","","","2017-06-08 18:41:00","2017-06-08 18:41:00"
"14","Testing","Employer","1","3055009199","tesst_emp@mail.com","561as6d6a6d465a46asdasasda89","FL","FL,NY","1","1-2","","","","","","","","","","","","","2017-06-08 18:58:50","2017-06-08 18:58:50"
"15","Testing","Employer","1","3055009199","tesst_emp@mail.com","561as6d6a622edd465a46asdasasda89ss","FL","FL,NY","1","1-2","","","","","","","","","","","","","2017-06-08 19:00:54","2017-06-08 19:00:54"
"16","Testing","Employer","1","3055009199","tesst_emp@mail.com","561as6d6a622edd465a46asdssssasasda89ss","FL","FL,NY","1","1-2","","","","","","","","","","","","","2017-06-08 19:03:44","2017-06-08 19:03:44"
"17","Testing","Employer","1","3055009199","tesst_emp@mail.com","561as6d6a622edd465a4sads6asdssssasasda89ss","FL","FL,NY","1","1-2","","","","","","","","","","","","","2017-06-08 19:08:23","2017-06-08 19:08:23"
"18","Testing","Employer","1","3055009199","tesst_emp@mail.com","asdasd222","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:10:37","2017-06-08 19:10:37"
"19","Testing","Employer","1","3055009199","tesst_emp@mail.com","asdasd222dasdas","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:13:20","2017-06-08 19:13:20"
"20","Testing","Employer","1","3055009199","tesst_emp@mail.com","asdasd222dasdas566","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:13:59","2017-06-08 19:13:59"
"21","Testing","Employer","1","3055009199","tesst_emp@mail.com","asdasd222dasdas566a","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:14:38","2017-06-08 19:14:38"
"22","Testing","Employer","1","3055009199","tesst_emp@mail.com","asdasd222dasdas566as2s2","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:15:26","2017-06-08 19:15:26"
"23","Testing","Employer","1","3055009199","tesst_emp@mail.com","asdasd222dasdas566as2s222","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:15:46","2017-06-08 19:15:46"
"24","Testing","Employer","1","3055009199","tesst_emp@mail.com","asdasd222dasdas566as2s222222","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:17:01","2017-06-08 19:17:01"
"25","Testing","Employer","1","3055009199","tesst_emp@mail.com","asdasd222dasdas566as2s222222222","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:19:03","2017-06-08 19:19:03"
"26","Testing","Employer","1","3055009199","tesst_emp@mail.com","22asdasd222dasdas566as2s222222222","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:19:57","2017-06-08 19:19:57"
"27","Testing","Employer","1","3055009199","tesst_emp@mail.com","22asdasd222dasdas566as2s22222222222","FL","AL","1","1-2","","","","","","","","","","","","","2017-06-08 19:21:55","2017-06-08 19:21:55"
"28","Testing","Employer","1","3055009199","tesst_emp@mail.com","sdsf44w","FL","AZ","1","10+","","","","","","","","","","","","","2017-06-11 13:53:31","2017-06-11 13:53:31"
